index,Interval_Start,Interval_End,Consumption_kW,Consumption_kWh,Hour,Time,Date,Adjusted_Consumption_kWh,Day,Price (Kč/MWh),Price_kWh,Month,DayOfWeek,Fixed_Cost (Kč),Cost_Difference (Kč),Savings,Elasticity,Season,Price_for_consumed_kWh
0,2024-01-01 00:00:00,2024-01-01 00:15:00,242,242,1,00:00:00,2024-01-01,60.5,2024-01-01,2.47,0.00247,1,0,484.0,0,-725.40226,-0.9142839644055536,Summer,0.149435
1,2024-01-01 00:15:00,2024-01-01 00:30:00,254,254,1,00:15:00,2024-01-01,63.5,2024-01-01,2.47,0.00247,1,0,508.0,0,-761.37262,-0.9223453022181196,Summer,0.156845
2,2024-01-01 00:30:00,2024-01-01 00:45:00,252,252,1,00:30:00,2024-01-01,63.0,2024-01-01,2.47,0.00247,1,0,504.0,0,-755.3775599999999,-0.921028548554718,Summer,0.15561
3,2024-01-01 00:45:00,2024-01-01 01:00:00,251,251,1,00:45:00,2024-01-01,62.75,2024-01-01,2.47,0.00247,1,0,502.0,0,-752.3800299999999,-0.9203662475986918,Summer,0.1549925
4,2024-01-01 01:00:00,2024-01-01 01:15:00,243,243,2,01:00:00,2024-01-01,60.75,2024-01-01,0.25,0.00025,1,0,486.0,0,-728.93925,-0.6622894341964628,Summer,0.0151875
5,2024-01-01 01:15:00,2024-01-01 01:30:00,242,242,2,01:15:00,2024-01-01,60.5,2024-01-01,0.25,0.00025,1,0,484.0,0,-725.9395000000001,-0.661792244360038,Summer,0.015125
6,2024-01-01 01:30:00,2024-01-01 01:45:00,251,251,2,01:30:00,2024-01-01,62.75,2024-01-01,0.25,0.00025,1,0,502.0,0,-752.9372500000001,-0.6661948238669829,Summer,0.0156875
7,2024-01-01 01:45:00,2024-01-01 02:00:00,255,255,2,01:45:00,2024-01-01,63.75,2024-01-01,0.25,0.00025,1,0,510.0,0,-764.9362500000001,-0.668101082777009,Summer,0.0159375
8,2024-01-01 02:00:00,2024-01-01 02:15:00,243,243,3,02:00:00,2024-01-01,60.75,2024-01-01,0.5,0.0005,1,0,486.0,0,-728.8784999999999,-0.7226854274974447,Summer,0.030375
9,2024-01-01 02:15:00,2024-01-01 02:30:00,244,244,3,02:15:00,2024-01-01,61.0,2024-01-01,0.5,0.0005,1,0,488.0,0,-731.8779999999999,-0.7232257293858735,Summer,0.0305
10,2024-01-01 02:30:00,2024-01-01 02:45:00,247,247,3,02:30:00,2024-01-01,61.75,2024-01-01,0.5,0.0005,1,0,494.0,0,-740.8765,-0.7248334478640174,Summer,0.030875
11,2024-01-01 02:45:00,2024-01-01 03:00:00,253,253,3,02:45:00,2024-01-01,63.25,2024-01-01,0.5,0.0005,1,0,506.0,0,-758.8734999999999,-0.7279911192362387,Summer,0.031625
12,2024-01-01 03:00:00,2024-01-01 03:15:00,254,254,4,03:00:00,2024-01-01,63.5,2024-01-01,0.0,0.0,1,0,508.0,0,-762.0,-0.0,Summer,0.0
13,2024-01-01 03:15:00,2024-01-01 03:30:00,247,247,4,03:15:00,2024-01-01,61.75,2024-01-01,0.0,0.0,1,0,494.0,0,-741.0,-0.0,Summer,0.0
14,2024-01-01 03:30:00,2024-01-01 03:45:00,245,245,4,03:30:00,2024-01-01,61.25,2024-01-01,0.0,0.0,1,0,490.0,0,-735.0,-0.0,Summer,0.0
15,2024-01-01 03:45:00,2024-01-01 04:00:00,249,249,4,03:45:00,2024-01-01,62.25,2024-01-01,0.0,0.0,1,0,498.0,0,-747.0,-0.0,Summer,0.0
16,2024-01-01 04:00:00,2024-01-01 04:15:00,254,254,5,04:00:00,2024-01-01,63.5,2024-01-01,-0.25,-0.00025,1,0,508.0,0,-762.0635,,Summer,-0.015875
17,2024-01-01 04:15:00,2024-01-01 04:30:00,254,254,5,04:15:00,2024-01-01,63.5,2024-01-01,-0.25,-0.00025,1,0,508.0,0,-762.0635,,Summer,-0.015875
18,2024-01-01 04:30:00,2024-01-01 04:45:00,245,245,5,04:30:00,2024-01-01,61.25,2024-01-01,-0.25,-0.00025,1,0,490.0,0,-735.06125,,Summer,-0.0153125
19,2024-01-01 04:45:00,2024-01-01 05:00:00,255,255,5,04:45:00,2024-01-01,63.75,2024-01-01,-0.25,-0.00025,1,0,510.0,0,-765.0637499999999,,Summer,-0.0159375
20,2024-01-01 05:00:00,2024-01-01 05:15:00,269,269,6,05:00:00,2024-01-01,67.25,2024-01-01,-0.25,-0.00025,1,0,538.0,0,-807.06725,,Summer,-0.0168125
21,2024-01-01 05:15:00,2024-01-01 05:30:00,270,270,6,05:15:00,2024-01-01,67.5,2024-01-01,-0.25,-0.00025,1,0,540.0,0,-810.0675,,Summer,-0.016875
22,2024-01-01 05:30:00,2024-01-01 05:45:00,273,273,6,05:30:00,2024-01-01,68.25,2024-01-01,-0.25,-0.00025,1,0,546.0,0,-819.0682499999999,,Summer,-0.0170625
23,2024-01-01 05:45:00,2024-01-01 06:00:00,274,274,6,05:45:00,2024-01-01,68.5,2024-01-01,-0.25,-0.00025,1,0,548.0,0,-822.0685,,Summer,-0.017125
24,2024-01-01 06:00:00,2024-01-01 06:15:00,285,285,7,06:00:00,2024-01-01,71.25,2024-01-01,0.0,0.0,1,0,570.0,0,-855.0,-0.0,Summer,0.0
25,2024-01-01 06:15:00,2024-01-01 06:30:00,287,287,7,06:15:00,2024-01-01,71.75,2024-01-01,0.0,0.0,1,0,574.0,0,-861.0,-0.0,Summer,0.0
26,2024-01-01 06:30:00,2024-01-01 06:45:00,299,299,7,06:30:00,2024-01-01,74.75,2024-01-01,0.0,0.0,1,0,598.0,0,-897.0,-0.0,Summer,0.0
