Day;Hour;Price (Kč/MWh)
01.01.2024;1;2,47
01.01.2024;2;0,25
01.01.2024;3;0,5
01.01.2024;4;0
01.01.2024;5;-0,25
01.01.2024;6;-0,25
01.01.2024;7;0
01.01.2024;8;0
01.01.2024;9;0
01.01.2024;10;0,99
01.01.2024;11;1,48
01.01.2024;12;13,35
01.01.2024;13;55,38
01.01.2024;14;62,55
01.01.2024;15;120,91
01.01.2024;16;594,39
01.01.2024;17;1 217,95
01.01.2024;18;1 414,52
01.01.2024;19;1 479,79
01.01.2024;20;1 353,94
01.01.2024;21;1 196,94
01.01.2024;22;1 045,13
01.01.2024;23;1 145,26
01.01.2024;24;878,97
02.01.2024;1;742,28
02.01.2024;2;490,99
02.01.2024;3;730,68
02.01.2024;4;432,98
02.01.2024;5;260,43
02.01.2024;6;696,61
02.01.2024;7;1 163,40
02.01.2024;8;1 615,14
02.01.2024;9;1 760,04
02.01.2024;10;1 731,90
02.01.2024;11;1 771,64
02.01.2024;12;1 859,52
02.01.2024;13;1 967,64
02.01.2024;14;1 989,86
02.01.2024;15;2 028,61
02.01.2024;16;2 049,84
02.01.2024;17;2 120,69
02.01.2024;18;2 075,27
02.01.2024;19;1 928,15
02.01.2024;20;1 698,82
02.01.2024;21;1 445,55
02.01.2024;22;1 175,25
02.01.2024;23;1 002,71
02.01.2024;24;438,65
03.01.2024;1;291,41
03.01.2024;2;262,54
03.01.2024;3;248,97
03.01.2024;4;240,83
03.01.2024;5;257,11
03.01.2024;6;289,19
03.01.2024;7;889,29
03.01.2024;8;1 075,34
03.01.2024;9;1 546,14
03.01.2024;10;1 615,47
03.01.2024;11;1 480,50
03.01.2024;12;1 406,23
03.01.2024;13;1 381,55
03.01.2024;14;1 382,29
03.01.2024;15;1 533,31
03.01.2024;16;1 740,82
03.01.2024;17;1 915,52
03.01.2024;18;2 078,38
03.01.2024;19;2 101,57
03.01.2024;20;2 021,87
03.01.2024;21;1 806,95
03.01.2024;22;1 663,34
03.01.2024;23;1 603,88
03.01.2024;24;1 434,11
04.01.2024;1;1 412,45
04.01.2024;2;1 243,84
04.01.2024;3;986
