category,Denní průměr,Hodinová cena
Tue Jan 01 2019,297.20,
Wed Jan 02 2019,979.67,
Thu Jan 03 2019,1515.75,
Fri Jan 04 2019,1366.19,
Sat Jan 05 2019,1115.17,
Sun Jan 06 2019,1335.92,
Mon Jan 07 2019,1577.39,
Tue Jan 08 2019,1443.21,
Wed Jan 09 2019,1470.05,
Thu Jan 10 2019,1731.24,
Fri Jan 11 2019,1488.90,
Sat Jan 12 2019,1213.30,
Sun Jan 13 2019,1008.95,
Mon Jan 14 2019,1219.27,
Tue Jan 15 2019,1269.70,
Wed Jan 16 2019,1222.10,
Thu Jan 17 2019,1218.60,
Fri Jan 18 2019,1628.39,
Sat Jan 19 2019,1463.19,
Sun Jan 20 2019,1441.96,
Mon Jan 21 2019,1877.15,
Tue Jan 22 2019,1678.06,
Wed Jan 23 2019,1895.04,
Thu Jan 24 2019,2151.25,
Fri Jan 25 2019,1795.14,
Sat Jan 26 2019,1325.89,
Sun Jan 27 2019,1027.16,
Mon Jan 28 2019,1448.87,
Tue Jan 29 2019,1610.67,
Wed Jan 30 2019,1595.60,
Thu Jan 31 2019,1589.86,
Fri Feb 01 2019,1430.93,
Sat Feb 02 2019,1315.79,
Sun Feb 03 2019,1135.12,
Mon Feb 04 2019,1269.20,
Tue Feb 05 2019,1415.59,
Wed Feb 06 2019,1356.17,
Thu Feb 07 2019,1200.03,
Fri Feb 08 2019,1229.57,
Sat Feb 09 2019,1034.52,
Sun Feb 10 2019,664.16,
Mon Feb 11 2019,1074.54,
Tue Feb 12 2019,1172.75,
Wed Feb 13 2019,1214.15,
Thu Feb 14 2019,1289.42,
Fri Feb 15 2019,1191.53,
Sat Feb 16 2019,1096.60,
Sun Feb 17 2019,996.16,
Mon Feb 18 2019,1211.66,
Tue Feb 19 2019,1192.05,
Wed Feb 20 2019,1114.92,
Thu Feb 21 2019,1179.01,
Fri Feb 22 2019,1202.22,
Sat Feb 23 2019,1055.51,
Sun Feb 24 2019,1022.56,
Mon Feb 25 2019,1165.46,
Tue Feb 26 2019,1106.94,
Wed Feb 27 2019,1125.12,
Thu Feb 28 2019,1027.56,
Fri Mar 01 2019,1174.39,
Sat Mar 02 2019,1031.13,
Sun Mar 03 2019,565.70,
Mon Mar 04 2019,614.93,
