index,Interval_Start,Interval_End,Consumption_kW,Consumption_kWh,Hour,Time,Date,Day,Price (Kč/MWh)
0,2024-01-01 00:00:00,2024-01-01 00:15:00,242,242,1,00:00:00,2024-01-01,2024-01-01,2.47
1,2024-01-01 00:15:00,2024-01-01 00:30:00,254,254,1,00:15:00,2024-01-01,2024-01-01,2.47
2,2024-01-01 00:30:00,2024-01-01 00:45:00,252,252,1,00:30:00,2024-01-01,2024-01-01,2.47
3,2024-01-01 00:45:00,2024-01-01 01:00:00,251,251,1,00:45:00,2024-01-01,2024-01-01,2.47
4,2024-01-01 01:00:00,2024-01-01 01:15:00,243,243,2,01:00:00,2024-01-01,2024-01-01,0.25
5,2024-01-01 01:15:00,2024-01-01 01:30:00,242,242,2,01:15:00,2024-01-01,2024-01-01,0.25
6,2024-01-01 01:30:00,2024-01-01 01:45:00,251,251,2,01:30:00,2024-01-01,2024-01-01,0.25
7,2024-01-01 01:45:00,2024-01-01 02:00:00,255,255,2,01:45:00,2024-01-01,2024-01-01,0.25
8,2024-01-01 02:00:00,2024-01-01 02:15:00,243,243,3,02:00:00,2024-01-01,2024-01-01,0.5
9,2024-01-01 02:15:00,2024-01-01 02:30:00,244,244,3,02:15:00,2024-01-01,2024-01-01,0.5
10,2024-01-01 02:30:00,2024-01-01 02:45:00,247,247,3,02:30:00,2024-01-01,2024-01-01,0.5
11,2024-01-01 02:45:00,2024-01-01 03:00:00,253,253,3,02:45:00,2024-01-01,2024-01-01,0.5
12,2024-01-01 03:00:00,2024-01-01 03:15:00,254,254,4,03:00:00,2024-01-01,2024-01-01,0.0
13,2024-01-01 03:15:00,2024-01-01 03:30:00,247,247,4,03:15:00,2024-01-01,2024-01-01,0.0
14,2024-01-01 03:30:00,2024-01-01 03:45:00,245,245,4,03:30:00,2024-01-01,2024-01-01,0.0
15,2024-01-01 03:45:00,2024-01-01 04:00:00,249,249,4,03:45:00,2024-01-01,2024-01-01,0.0
16,2024-01-01 04:00:00,2024-01-01 04:15:00,254,254,5,04:00:00,2024-01-01,2024-01-01,-0.25
17,2024-01-01 04:15:00,2024-01-01 04:30:00,254,254,5,04:15:00,2024-01-01,2024-01-01,-0.25
18,2024-01-01 04:30:00,2024-01-01 04:45:00,245,245,5,04:30:00,2024-01-01,2024-01-01,-0.25
19,2024-01-01 04:45:00,2024-01-01 05:00:00,255,255,5,04:45:00,2024-01-01,2024-01-01,-0.25
20,2024-01-01 05:00:00,2024-01-01 05:15:00,269,269,6,05:00:00,2024-01-01,2024-01-01,-0.25
21,2024-01-01 05:15:00,2024-01-01 05:30:00,270,270,6,05:15:00,2024-01-01,2024-01-01,-0.25
22,2024-01-01 05:30:00,2024-01-01 05:45:00,273,273,6,05:30:00,2024-01-01,2024-01-01,-0.25
23,2024-01-01 05:45:00,2024-01-01 06:00:00,274,274,6,05:45:00,2024-01-01,2024-01-01,-0.25
24,2024-01-01 06:00:00,2024-01-01 06:15:00,285,285,7,06:00:00,2024-01-01,2024-01-01,0.0
25,2024-01-01 06:15:00,2024-01-01 06:30:00,287,287,7,06:15:00,2024-01-01,2024-01-01,0.0
26,2024-01-01 06:30:00,2024-01-01 06:45:00,299,299,7,06:30:00,2024-01-01,2024-01-01,0.0
27,2024-01-01 06:45:00,2024-01-01 07:00:00,305,305,7,06:45:00,2024-01-01,2024-01-01,0.0
28,2024-01-01 07:00:00,2024-01-01 07:15:00,322,322,8,07:00:00,2024-01-01,2024-01-01,0.0
29,2024-01-01 07:15:00,2024-01-01 07:30:00,314,314,8,07:15:00,2024-01-01,2024-01-01,0.0
30,2024-01-01 07:30:00,2024-01-01 07:45:00,310,310,8,07:30:00,2024-01-01,2024-01-01,0.0
31,2024-01-01 07:45:00,2024-01-01 08:00:00,315,315,8,07:45:00,2024-01-01,2024-01-01,0.0
32,2024-01-01 08:00:00,2024-01-01 08:15:00,311,311,9,08:00:00,2024-01-01,2024-01-01,0.0
33,2024-01-01 08:15:00,2024-01-01 08:30:00,306,306,9,08:15:00,2024-01-01,2024-01-01,0.0
