Consumption_kWh,Date,Daily_Average_Price,Prebought_Cost,Daily_Cost,Spot_Cheaper
25756,2024-01-01,441.01,60526.600000000006,11358.65356,True
53506,2024-01-02,1382.36,125739.1,73964.55416,True
54002,2024-01-03,1261.11,126904.70000000001,68102.46222,True
55770,2024-01-04,2051.95,131059.5,114437.25149999998,True
55785,2024-01-05,2314.17,131094.75,129095.97345,True
27424,2024-01-06,2181.5,64446.4,59825.456,True
26265,2024-01-07,2123.71,61722.75,55779.24315,True
66347,2024-01-08,2493.6,155915.45,165442.8792,False
67316,2024-01-09,2681.72,158192.6,180522.66351999997,False
66234,2024-01-10,2751.54,155649.9,182245.50035999998,False
63095,2024-01-11,2695.93,148273.25,170099.70335,False
59693,2024-01-12,2634.41,140278.55000000002,157255.83612999998,False
27051,2024-01-13,2080.73,63569.850000000006,56285.82723,True
26092,2024-01-14,1897.94,61316.200000000004,49521.050480000005,True
62606,2024-01-15,2183.6,147124.1,136706.46159999998,True
63034,2024-01-16,2614.02,148129.9,164772.13668,False
61813,2024-01-17,2483.82,145260.55000000002,153532.36566,False
58553,2024-01-18,2366.93,137599.55000000002,138590.85228999998,False
58874,2024-01-19,2004.47,138353.9,118011.16678,True
26253,2024-01-20,1847.48,61694.55,48501.892439999996,True
25947,2024-01-21,1765.72,60975.450000000004,45815.13684000001,True
62710,2024-01-22,2119.63,147368.5,132921.99730000002,True
56830,2024-01-23,1984.34,133550.5,112770.04219999998,True
53624,2024-01-24,1894.73,126016.40000000001,101603.00151999999,True
59694,2024-01-25,1931.26,140280.9,115284.63444,True
52962,2024-01-26,1902.42,124460.70000000001,100755.96804,True
27057,2024-01-27,1689.66,63583.950000000004,45717.13062,True
26111,2024-01-28,1593.68,61360.850000000006,41612.578480000004,True
62112,2024-01-29,2016.08,145963.2,125222.76096,True
60593,2024-01-30,1958.3,142393.55000000002,118659.27189999999,True
56775,2024-01-31,2137.0,133421.25,121328.175,True
56261,2024-02-01,2191.51,132213.35,123296.54411000002,True
56460,2024-02-02,2097.89,132681.0,118446.8694,True
26905,2024-02-03,1779.87,63226.75,47887.40235,True
26621,2024-02-04,1456.43,62559.350000000006,38771.62303,True
57726,2024-02-05,1702.85,135656.1,98298.71909999999,True
57506,2024-02-06,1665.99,135139.1,95804.42094,True
54679,2024-02-07,1974.45,128495.65000000001,107960.95155,True
53740,2024-02-08,2251.93,126289.0,121018.71819999999,True
49738,2024-02-09,1896.86,116884.3,94346.02268,True
25879,2024-02-10,1814.34,60815.65,46953.30486,True
25654,2024-02-11,1558.75,60286.9,39988.1725,True
53754,2024-02-12,1905.07,126321.90000000001,102405.13278,True
56451,2024-02-13,1871.03,132659.85,105621.51453,True
54557,2024-02-14,1784.07,128208.95000000001,97333.50699,True
52508,2024-02-15,1844.0,123393.8,96824.752,True
50582,2024-02-16,1582.56,118867.70000000001,80049.04992,True
