index,Interval_Start,Interval_End,Consumption_kW,Consumption_kWh,Hour,Time,Date,Adjusted_Consumption_kWh,Day,Price (Kč/MWh),Price_kWh,Cost (Kč),Month
0,2024-01-01 00:00:00,2024-01-01 00:15:00,242,242,1,00:00:00,2024-01-01,60.5,2024-01-01,2.47,0.0024700000000000004,0.59774,2024-01
1,2024-01-01 00:15:00,2024-01-01 00:30:00,254,254,1,00:15:00,2024-01-01,63.5,2024-01-01,2.47,0.0024700000000000004,0.62738,2024-01
2,2024-01-01 00:30:00,2024-01-01 00:45:00,252,252,1,00:30:00,2024-01-01,63.0,2024-01-01,2.47,0.0024700000000000004,0.6224400000000001,2024-01
3,2024-01-01 00:45:00,2024-01-01 01:00:00,251,251,1,00:45:00,2024-01-01,62.75,2024-01-01,2.47,0.0024700000000000004,0.6199700000000001,2024-01
4,2024-01-01 01:00:00,2024-01-01 01:15:00,243,243,2,01:00:00,2024-01-01,60.75,2024-01-01,0.25,0.00025,0.06075,2024-01
5,2024-01-01 01:15:00,2024-01-01 01:30:00,242,242,2,01:15:00,2024-01-01,60.5,2024-01-01,0.25,0.00025,0.0605,2024-01
6,2024-01-01 01:30:00,2024-01-01 01:45:00,251,251,2,01:30:00,2024-01-01,62.75,2024-01-01,0.25,0.00025,0.06275,2024-01
7,2024-01-01 01:45:00,2024-01-01 02:00:00,255,255,2,01:45:00,2024-01-01,63.75,2024-01-01,0.25,0.00025,0.06375,2024-01
8,2024-01-01 02:00:00,2024-01-01 02:15:00,243,243,3,02:00:00,2024-01-01,60.75,2024-01-01,0.5,0.0005,0.1215,2024-01
9,2024-01-01 02:15:00,2024-01-01 02:30:00,244,244,3,02:15:00,2024-01-01,61.0,2024-01-01,0.5,0.0005,0.122,2024-01
10,2024-01-01 02:30:00,2024-01-01 02:45:00,247,247,3,02:30:00,2024-01-01,61.75,2024-01-01,0.5,0.0005,0.1235,2024-01
11,2024-01-01 02:45:00,2024-01-01 03:00:00,253,253,3,02:45:00,2024-01-01,63.25,2024-01-01,0.5,0.0005,0.1265,2024-01
12,2024-01-01 03:00:00,2024-01-01 03:15:00,254,254,4,03:00:00,2024-01-01,63.5,2024-01-01,0.0,0.0,0.0,2024-01
13,2024-01-01 03:15:00,2024-01-01 03:30:00,247,247,4,03:15:00,2024-01-01,61.75,2024-01-01,0.0,0.0,0.0,2024-01
14,2024-01-01 03:30:00,2024-01-01 03:45:00,245,245,4,03:30:00,2024-01-01,61.25,2024-01-01,0.0,0.0,0.0,2024-01
15,2024-01-01 03:45:00,2024-01-01 04:00:00,249,249,4,03:45:00,2024-01-01,62.25,2024-01-01,0.0,0.0,0.0,2024-01
16,2024-01-01 04:00:00,2024-01-01 04:15:00,254,254,5,04:00:00,2024-01-01,63.5,2024-01-01,-0.25,-0.00025,-0.0635,2024-01
17,2024-01-01 04:15:00,2024-01-01 04:30:00,254,254,5,04:15:00,2024-01-01,63.5,2024-01-01,-0.25,-0.00025,-0.0635,2024-01
18,2024-01-01 04:30:00,2024-01-01 04:45:00,245,245,5,04:30:00,2024-01-01,61.25,2024-01-01,-0.25,-0.00025,-0.06125,2024-01
19,2024-01-01 04:45:00,2024-01-01 05:00:00,255,255,5,04:45:00,2024-01-01,63.75,2024-01-01,-0.25,-0.00025,-0.06375,2024-01
20,2024-01-01 05:00:00,2024-01-01 05:15:00,269,269,6,05:00:00,2024-01-01,67.25,2024-01-01,-0.25,-0.00025,-0.06725,2024-01
21,2024-01-01 05:15:00,2024-01-01 05:30:00,270,270,6,05:15:00,2024-01-01,67.5,2024-01-01,-0.25,-0.00025,-0.0675,2024-01
22,2024-01-01 05:30:00,2024-01-01 05:45:00,273,273,6,05:30:00,2024-01-01,68.25,2024-01-01,-0.25,-0.00025,-0.06825,2024-01
23,2024-01-01 05:45:00,2024-01-01 06:00:00,274,274,6,05:45:00,2024-01-01,68.5,2024-01-01,-0.25,-0.00025,-0.0685,2024-01
24,2024-01-01 06:00:00,2024-01-01 06:15:00,285,285,7,06:00:00,2024-01-01,71.25,2024-01-01,0.0,0.0,0.0,2024-01
25,2024-01-01 06:15:00,2024-01-01 06:30:00,287,287,7,06:15:00,2024-01-01,71.75,2024-01-01,0.0,0.0,0.0,2024-01
26,2024-01-01 06:30:00,2024-01-01 06:45:00,299,299,7,06:30:00,2024-01-01,74.75,2024-01-01,0.0,0.0,0.0,2024-01
27,2024-01-01 06:45:00,2024-01-01 07:00:00,305,305,7,06:45:00,2024-01-01,76.25,2024-01-01,0.0,0.0,0.0,2024-01
28,2024-01-01 07:00:00,2024-01-01 07:15:00,322,322,8,07:00:00,2024-01-01,80.5,2024-01-01,0.0,0.0,0.0,2024-01
29,2024-01-01 07:15:00,2024-01-01 07:30:00,314,314,8,07:15:00,2024-01-01,78.5,2024-01-01,0.0,0.0,0.0,2024-01
30,2024-01-01 07:30:00,2024-01-01 07:45:00,310,310,8,07:30:00,2024-01-01,77.5,2024-01-01,0.0,0.0,0.0,2024-01
31,2024-01-01 07:45:00,2024-01-01 08:00:00,315,315,8,07:45:00,2024-01-01,78.75,2024-01-01,0.0,0.0,0.0,2024-01
32,2024-01-01 08:00:00,2024-01-01 08:15:00,311,311,9,08:00:00,2024-01-01,77.75,2024-01-01,0.0,0.0,0.0,2024-01
33,2024-01-01 08:15:00,2024-01-01 08:30:00,306,306,9,08:15:00,2024-01-01,76.5,2024-01-01,0.0,0.0,0.0,2024-01
34,2024-01-01 08:30:00,2024-01-01 08:45:00,302,302,9,08:30:00,2024-01-01,75.5,2024-01-01,0.0,0.0,0.0,2024-01
35,2024-01-01 08:45:00,2024-01-01 09:00:00,308,308,9,08:45:00,2024-01-01,77.0,2024-01-01,0.0,0.0,0.0,2024-01
36,2024-01-01 09:00:00,2024-01-01 09:15:00,277,277,10,09:00:00,2024-01-01,69.25,2024-01-01,0.99,0.00099,0.27423,2024-01
37,2024-01-01 09:15:00,2024-01-01 09:30:00,278,278,10,09:15:00,2024-01-01,69.5,2024-01-01,0.99,0.00099,0.27522,2024-01
38,2024-01-01 09:30:00,2024-01-01 09:45:00,285,285,10,09:30:00,2024-01-01,71.25,2024-01-01,0.99,0.00099,0.28215,2024-01
39,2024-01-01 09:45:00,2024-01-01 10:00:00,279,279,10,09:45:00,2024-01-01,69.75,2024-01-01,0.99,0.00099,0.27621,2024-01
40,2024-01-01 10:00:00,2024-01-01 10:15:00,273,273,11,10:00:00,2024-01-01,68.25,2024-01-01,1.48,0.00148,0.40404,2024-01
41,2024-01-01 10:15:00,2024-01-01 10:30:00,275,275,11,10:15:00,2024-01-01,68.75,2024-01-01,1.48,0.00148,0.407,2024-01
42,2024-01-01 10:30:00,2024-01-01 10:45:00,273,273,11,10:30:00,2024-01-01,68.25,2024-01-01,1.48,0.00148,0.40404,2024-01
43,2024-01-01 10:45:00,2024-01-01 11:00:00,287,287,11,10:45:00,2024-01-01,71.75,2024-01-01,1.48,0.00148,0.42475999999999997,2024-01
44,2024-01-01 11:00:00,2024-01-01 11:15:00,275,275,12,11:00:00,2024-01-01,68.75,2024-01-01,13.35,0.013349999999999999,3.6712499999999997,2024-01
45,2024-01-01 11:15:00,2024-01-01 11:30:00,270,270,12,11:15:00,2024-01-01,67.5,2024-01-01,13.35,0.013349999999999999,3.6045,2024-01
46,2024-01-01 11:30:00,2024-01-01 11:45:00,271,271,12,11:30:00,2024-01-01,67.75,2024-01-01,13.35,0.013349999999999999,3.61785,2024-01
47,2024-01-01 11:45:00,2024-01-01 12:00:00,278,278,12,11:45:00,2024-01-01,69.5,2024-01-01,13.35,0.013349999999999999,3.7112999999999996,2024-01
48,2024-01-01 12:00:00,2024-01-01 12:15:00,277,277,13,12:00:00,2024-01-01,69.25,2024-01-01,55.38,0.055380000000000006,15.34026,2024-01
49,2024-01-01 12:15:00,2024-01-01 12:30:00,280,280,13,12:15:00,2024-01-01,70.0,2024-01-01,55.38,0.055380000000000006,15.506400000000001,2024-01
50,2024-01-01 12:30:00,2024-01-01 12:45:00,274,274,13,12:30:00,2024-01-01,68.5,2024-01-01,55.38,0.055380000000000006,15.174120000000002,2024-01
51,2024-01-01 12:45:00,2024-01-01 13:00:00,271,271,13,12:45:00,2024-01-01,67.75,2024-01-01,55.38,0.055380000000000006,15.007980000000002,2024-01
52,2024-01-01 13:00:00,2024-01-01 13:15:00,278,278,14,13:00:00,2024-01-01,69.5,2024-01-01,62.55,0.06255,17.3889,2024-01
53,2024-01-01 13:15:00,2024-01-01 13:30:00,277,277,14,13:15:00,2024-01-01,69.25,2024-01-01,62.55,0.06255,17.326349999999998,2024-01
54,2024-01-01 13:30:00,2024-01-01 13:45:00,273,273,14,13:30:00,2024-01-01,68.25,2024-01-01,62.55,0.06255,17.07615,2024-01
55,2024-01-01 13:45:00,2024-01-01 14:00:00,277,277,14,13:45:00,2024-01-01,69.25,2024-01-01,62.55,0.06255,17.326349999999998,2024-01
56,2024-01-01 14:00:00,2024-01-01 14:15:00,269,269,15,14:00:00,2024-01-01,67.25,2024-01-01,120.91,0.12090999999999999,32.524789999999996,2024-01
57,2024-01-01 14:15:00,2024-01-01 14:30:00,277,277,15,14:15:00,2024-01-01,69.25,2024-01-01,120.91,0.12090999999999999,33.49207,2024-01
58,2024-01-01 14:30:00,2024-01-01 14:45:00,282,282,15,14:30:00,2024-01-01,70.5,2024-01-01,120.91,0.12090999999999999,34.096619999999994,2024-01
59,2024-01-01 14:45:00,2024-01-01 15:00:00,282,282,15,14:45:00,2024-01-01,70.5,2024-01-01,120.91,0.12090999999999999,34.096619999999994,2024-01
60,2024-01-01 15:00:00,2024-01-01 15:15:00,307,307,16,15:00:00,2024-01-01,76.75,2024-01-01,594.39,0.59439,182.47772999999998,2024-01
61,2024-01-01 15:15:00,2024-01-01 15:30:00,309,309,16,15:15:00,2024-01-01,77.25,2024-01-01,594.39,0.59439,183.66651,2024-01
62,2024-01-01 15:30:00,2024-01-01 15:45:00,313,313,16,15:30:00,2024-01-01,78.25,2024-01-01,594.39,0.59439,186.04407,2024-01
63,2024-01-01 15:45:00,2024-01-01 16:00:00,313,313,16,15:45:00,2024-01-01,78.25,2024-01-01,594.39,0.59439,186.04407,2024-01
64,2024-01-01 16:00:00,2024-01-01 16:15:00,272,272,17,16:00:00,2024-01-01,68.0,2024-01-01,1217.95,1.21795,331.28240000000005,2024-01
65,2024-01-01 16:15:00,2024-01-01 16:30:00,269,269,17,16:15:00,2024-01-01,67.25,2024-01-01,1217.95,1.21795,327.62855,2024-01
66,2024-01-01 16:30:00,2024-01-01 16:45:00,263,263,17,16:30:00,2024-01-01,65.75,2024-01-01,1217.95,1.21795,320.32085,2024-01
67,2024-01-01 16:45:00,2024-01-01 17:00:00,273,273,17,16:45:00,2024-01-01,68.25,2024-01-01,1217.95,1.21795,332.50035,2024-01
68,2024-01-01 17:00:00,2024-01-01 17:15:00,270,270,18,17:00:00,2024-01-01,67.5,2024-01-01,1414.52,1.41452,381.9204,2024-01
69,2024-01-01 17:15:00,2024-01-01 17:30:00,270,270,18,17:15:00,2024-01-01,67.5,2024-01-01,1414.52,1.41452,381.9204,2024-01
70,2024-01-01 17:30:00,2024-01-01 17:45:00,267,267,18,17:30:00,2024-01-01,66.75,2024-01-01,1414.52,1.41452,377.67684,2024-01
71,2024-01-01 17:45:00,2024-01-01 18:00:00,271,271,18,17:45:00,2024-01-01,67.75,2024-01-01,1414.52,1.41452,383.33492,2024-01
72,2024-01-01 18:00:00,2024-01-01 18:15:00,246,246,19,18:00:00,2024-01-01,61.5,2024-01-01,1479.79,1.47979,364.02833999999996,2024-01
73,2024-01-01 18:15:00,2024-01-01 18:30:00,247,247,19,18:15:00,2024-01-01,61.75,2024-01-01,1479.79,1.47979,365.50813,2024-01
74,2024-01-01 18:30:00,2024-01-01 18:45:00,245,245,19,18:30:00,2024-01-01,61.25,2024-01-01,1479.79,1.47979,362.54855,2024-01
75,2024-01-01 18:45:00,2024-01-01 19:00:00,252,252,19,18:45:00,2024-01-01,63.0,2024-01-01,1479.79,1.47979,372.90708,2024-01
76,2024-01-01 19:00:00,2024-01-01 19:15:00,250,250,20,19:00:00,2024-01-01,62.5,2024-01-01,1353.94,1.3539400000000001,338.485,2024-01
77,2024-01-01 19:15:00,2024-01-01 19:30:00,246,246,20,19:15:00,2024-01-01,61.5,2024-01-01,1353.94,1.3539400000000001,333.06924000000004,2024-01
78,2024-01-01 19:30:00,2024-01-01 19:45:00,251,251,20,19:30:00,2024-01-01,62.75,2024-01-01,1353.94,1.3539400000000001,339.83894000000004,2024-01
79,2024-01-01 19:45:00,2024-01-01 20:00:00,255,255,20,19:45:00,2024-01-01,63.75,2024-01-01,1353.94,1.3539400000000001,345.2547,2024-01
80,2024-01-01 20:00:00,2024-01-01 20:15:00,252,252,21,20:00:00,2024-01-01,63.0,2024-01-01,1196.94,1.1969400000000001,301.62888000000004,2024-01
81,2024-01-01 20:15:00,2024-01-01 20:30:00,249,249,21,20:15:00,2024-01-01,62.25,2024-01-01,1196.94,1.1969400000000001,298.03806000000003,2024-01
82,2024-01-01 20:30:00,2024-01-01 20:45:00,247,247,21,20:30:00,2024-01-01,61.75,2024-01-01,1196.94,1.1969400000000001,295.64418,2024-01
83,2024-01-01 20:45:00,2024-01-01 21:00:00,251,251,21,20:45:00,2024-01-01,62.75,2024-01-01,1196.94,1.1969400000000001,300.43194000000005,2024-01
84,2024-01-01 21:00:00,2024-01-01 21:15:00,251,251,22,21:00:00,2024-01-01,62.75,2024-01-01,1045.13,1.0451300000000001,262.32763000000006,2024-01
85,2024-01-01 21:15:00,2024-01-01 21:30:00,251,251,22,21:15:00,2024-01-01,62.75,2024-01-01,1045.13,1.0451300000000001,262.32763000000006,2024-01
