Date,Daily_Average_Price,Hourly_Price
2021-01-01,1072.24,
2021-01-02,1344.17,
2021-01-03,1068.05,
2021-01-04,1292.3,
2021-01-05,1386.58,
2021-01-06,1370.72,
2021-01-07,1794.95,
2021-01-08,1954.27,
2021-01-09,1542.21,
2021-01-10,1281.38,
2021-01-11,1348.23,
2021-01-12,1445.1,
2021-01-13,1462.8,
2021-01-14,1886.43,
2021-01-15,2067.55,
2021-01-16,1422.01,
2021-01-17,1385.26,
2021-01-18,1753.84,
2021-01-19,1718.45,
2021-01-20,1525.88,
2021-01-21,1455.57,
2021-01-22,1379.45,
2021-01-23,1370.82,
2021-01-24,1244.04,
2021-01-25,1662.42,
2021-01-26,1553.48,
2021-01-27,1551.7,
2021-01-28,1443.31,
2021-01-29,1352.03,
2021-01-30,1201.28,
2021-01-31,1185.36,
2021-02-01,1487.26,
2021-02-02,1451.21,
2021-02-03,1225.5,
2021-02-04,1266.62,
2021-02-05,1348.8,
2021-02-06,1104.84,
2021-02-07,601.34,
2021-02-08,1254.55,
2021-02-09,1666.18,
2021-02-10,1741.12,
2021-02-11,1998.32,
2021-02-12,1630.8,
2021-02-13,1382.38,
2021-02-14,1146.91,
2021-02-15,1360.32,
2021-02-16,1587.75,
2021-02-17,1465.71,
2021-02-18,1358.23,
2021-02-19,1346.79,
2021-02-20,986.29,
2021-02-21,867.08,
2021-02-22,1306.88,
2021-02-23,1251.76,
2021-02-24,1155.26,
2021-02-25,1228.5,
2021-02-26,1250.57,
2021-02-27,1165.98,
2021-02-28,1046.06,
2021-03-01,1370.89,
2021-03-02,1390.26,
2021-03-03,1357.33,
2021-03-04,1351.27,
2021-03-05,1403.21,
2021-03-06,1196.1,
2021-03-07,1125.89,
2021-03-08,1618.15,
2021-03-09,1631.67,
2021-03-10,1428.73,
2021-03-11,1361.48,
2021-03-12,1316.6,
2021-03-13,1193.78,
2021-03-14,1112.15,
2021-03-15,1293.89,
2021-03-16,1492.19,
