,Date,Monthly_Average,Year,Month,Quarter,Q1,Q2,Q3,Q4
0,2023-05-01,1419.38,2023,5,Q2,3049.8266666666664,1866.89,1598.64,1557.6866666666667
1,2023-06-01,1160.33,2023,6,Q2,3049.8266666666664,1866.89,1598.64,1557.6866666666667
2,2023-07-01,848.78,2023,7,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
3,2023-08-01,975.33,2023,8,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
4,2023-09-01,975.61,2023,9,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
5,2023-10-01,866.36,2023,10,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
6,2023-11-01,1073.42,2023,11,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
7,2023-12-01,1026.69,2023,12,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
8,2024-01-01,1027.55,2024,1,Q1,1422.6416666666667,1333.2083333333333,,
9,2024-02-01,995.19,2024,2,Q1,1422.6416666666667,1333.2083333333333,,
10,2024-03-01,1071.78,2024,3,Q1,1422.6416666666667,1333.2083333333333,,
11,2024-04-01,950.57,2024,4,Q2,1422.6416666666667,1333.2083333333333,,
12,2024-05-01,1054.47,2024,5,Q2,1422.6416666666667,1333.2083333333333,,
13,2024-06-01,766.63,2024,6,Q2,1422.6416666666667,1333.2083333333333,,
14,2020-03-01,669.71,2020,3,Q1,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
15,2020-04-01,525.16,2020,4,Q2,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
16,2020-05-01,492.82,2020,5,Q2,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
17,2020-06-01,701.37,2020,6,Q2,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
18,2020-07-01,869.18,2020,7,Q3,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
19,2020-08-01,904.14,2020,8,Q3,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
