;Date;Monthly_Average;Year;Month;Quarter;Q1;Q2;Q3;Q4;;;;;;
0;03.01.2020;669.71;2020;3;Q1;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
1;04.01.2020;525.16;2020;4;Q2;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
2;05.01.2020;492.82;2020;5;Q2;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
3;06.01.2020;701.37;2020;6;Q2;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
4;07.01.2020;869.18;2020;7;Q3;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
5;08.01.2020;904.14;2020;8;Q3;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
6;09.01.2020;1201.03;2020;9;Q3;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
7;10.01.2020;990.22;2020;10;Q4;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
8;11.01.2020;1100.49;2020;11;Q4;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
9;12.01.2020;1355.04;2020;12;Q4;669.71;573.1166666666667;991.4499999999999;1148.5833333333333;;;;;;
10;01.01.2021;1468.45;2021;1;Q1;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
11;02.01.2021;1310.11;2021;2;Q1;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
12;03.01.2021;1406.38;2021;3;Q1;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
13;04.01.2021;1562.1;2021;4;Q2;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
14;05.01.2021;1515.42;2021;5;Q2;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
15;06.01.2021;1911.8;2021;6;Q2;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
16;07.01.2021;2181.48;2021;7;Q3;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
17;08.01.2021;2162.43;2021;8;Q3;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
18;09.01.2021;3292.8;2021;9;Q3;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
19;10.01.2021;3585.36;2021;10;Q4;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
20;11.01.2021;4578.96;2021;11;Q4;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
21;12.01.2021;5781.33;2021;12;Q4;1394.9800000000002;1663.1066666666666;2545.57;4648.55;;;;;;
22;01.01.2022;4392.36;2022;1;Q1;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
23;02.01.2022;3788.77;2022;2;Q1;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
24;03.01.2022;6535.06;2022;3;Q1;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
25;04.01.2022;4253.6;2022;4;Q2;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
26;05.01.2022;4673.48;2022;5;Q2;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
27;06.01.2022;5556.08;2022;6;Q2;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
28;07.01.2022;7855.23;2022;7;Q3;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
29;08.01.2022;11707.04;2022;8;Q3;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
30;09.01.2022;8980.25;2022;9;Q3;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
31;10.01.2022;4124.52;2022;10;Q4;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
32;11.01.2022;4793.49;2022;11;Q4;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
33;12.01.2022;6093.22;2022;12;Q4;4905.3966666666665;4827.72;9514.173333333334;5003.743333333333;;;;;;
34;01.01.2023;3224.92;2023;1;Q1;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
35;02.01.2023;3300.43;2023;2;Q1;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
36;03.01.2023;2624.13;2023;3;Q1;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
37;04.01.2023;2476.7;2023;4;Q2;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
38;05.01.2023;2011.32;2023;5;Q2;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
39;05.01.2023;1419.38;2023;5;Q2;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
40;06.01.2023;1160.33;2023;6;Q2;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
41;06.01.2023;2266.72;2023;6;Q2;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
42;07.01.2023;2079.77;2023;7;Q3;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
43;07.01.2023;848.78;2023;7;Q3;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
44;08.01.2023;975.33;2023;8;Q3;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
45;08.01.2023;2228.43;2023;8;Q3;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
46;09.01.2023;975.61;2023;9;Q3;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
47;09.01.2023;2483.92;2023;9;Q3;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
48;10.01.2023;866.36;2023;10;Q4;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
49;10.01.2023;2321.08;2023;10;Q4;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
50;11.01.2023;1073.42;2023;11;Q4;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
51;11.01.2023;2270.4;2023;11;Q4;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
52;12.01.2023;1026.69;2023;12;Q4;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
53;12.01.2023;1788.17;2023;12;Q4;3049.8266666666664;1866.89;1598.64;1557.6866666666667;;;;;;
54;01.01.2024;1027.55;2024;1;Q1;1422.6416666666667;1333.2083333333333;;;;;;;;
55;01.01.2024;2047.9;2024;1;Q1;1422.6416666666667;1333.2083333333333;;;;;;;;
56;02.01.2024;995.19;2024;2;Q1;1422.6416666666667;1333.2083333333333;;;;;;;;
57;02.01.2024;1743.11;2024;2;Q1;1422.6416666666667;1333.2083333333333;;;;;;;;
58;03.01.2024;1650.32;2024;3;Q1;1422.6416666666667;1333.2083333333333;;;;;;;;
59;03.01.2024;1071.78;2024;3;Q1;1422.6416666666667;1333.2083333333333;;;;;;;;
60;04.01.2024;950.57;2024;4;Q2;1422.6416666666667;1333.2083333333333;;;;;;;;
61;04.01.2024;1595.13;2024;4;Q2;1422.6416666666667;1333.2083333333333;;;;;;;;
62;05.01.2024;1711.44;2024;5;Q2;1422.6416666666667;1333.2083333333333;;;;;;;;
63;05.01.2024;1054.47;2024;5;Q2;1422.6416666666667;1333.2083333333333;;;;;;;;
64;06.01.2024;766.63;2024;6;Q2;1422.6416666666667;1333.2083333333333;;;;;;;;
65;06.01.2024;1921.01;2024;6;Q2;1422.6416666666667;1333.2083333333333;;;;;;;;
