index,Interval_Start,Interval_End,Consumption_kW,Hour,Time,Date,Adjusted_Consumption_kWh,Price (Kč/MWh),Price_kWh,Month,DayOfWeek,Cost on SPOT,Cost on FORWARD,Price_difference,Moving_Average,YearMonth
0,2024-01-01 00:00:00,2024-01-01 00:15:00,242,1,00:00:00,2024-01-01,60.5,2.47,0.00247,1,0,0.149435,151.25,151.100565,,2024-01
1,2024-01-01 00:15:00,2024-01-01 00:30:00,254,1,00:15:00,2024-01-01,63.5,2.47,0.00247,1,0,0.156845,158.75,158.593155,,2024-01
2,2024-01-01 00:30:00,2024-01-01 00:45:00,252,1,00:30:00,2024-01-01,63.0,2.47,0.00247,1,0,0.15561,157.5,157.34439,,2024-01
3,2024-01-01 00:45:00,2024-01-01 01:00:00,251,1,00:45:00,2024-01-01,62.75,2.47,0.00247,1,0,0.1549925,156.875,156.7200075,,2024-01
4,2024-01-01 01:00:00,2024-01-01 01:15:00,243,2,01:00:00,2024-01-01,60.75,0.25,0.00025,1,0,0.0151875,151.875,151.8598125,,2024-01
5,2024-01-01 01:15:00,2024-01-01 01:30:00,242,2,01:15:00,2024-01-01,60.5,0.25,0.00025,1,0,0.015125,151.25,151.234875,,2024-01
6,2024-01-01 01:30:00,2024-01-01 01:45:00,251,2,01:30:00,2024-01-01,62.75,0.25,0.00025,1,0,0.0156875,156.875,156.8593125,1.518571428571429,2024-01
7,2024-01-01 01:45:00,2024-01-01 02:00:00,255,2,01:45:00,2024-01-01,63.75,0.25,0.00025,1,0,0.0159375,159.375,159.3590625,1.2014285714285715,2024-01
8,2024-01-01 02:00:00,2024-01-01 02:15:00,243,3,02:00:00,2024-01-01,60.75,0.5,0.0005,1,0,0.030375,151.875,151.844625,0.92,2024-01
9,2024-01-01 02:15:00,2024-01-01 02:30:00,244,3,02:15:00,2024-01-01,61.0,0.5,0.0005,1,0,0.0305,152.5,152.4695,0.6385714285714287,2024-01
10,2024-01-01 02:30:00,2024-01-01 02:45:00,247,3,02:30:00,2024-01-01,61.75,0.5,0.0005,1,0,0.030875,154.375,154.344125,0.3571428571428571,2024-01
11,2024-01-01 02:45:00,2024-01-01 03:00:00,253,3,02:45:00,2024-01-01,63.25,0.5,0.0005,1,0,0.031625,158.125,158.093375,0.3928571428571428,2024-01
12,2024-01-01 03:00:00,2024-01-01 03:15:00,254,4,03:00:00,2024-01-01,63.5,0.0,0.0,1,0,0.0,158.75,158.75,0.3571428571428571,2024-01
13,2024-01-01 03:15:00,2024-01-01 03:30:00,247,4,03:15:00,2024-01-01,61.75,0.0,0.0,1,0,0.0,154.375,154.375,0.3214285714285714,2024-01
14,2024-01-01 03:30:00,2024-01-01 03:45:00,245,4,03:30:00,2024-01-01,61.25,0.0,0.0,1,0,0.0,153.125,153.125,0.2857142857142857,2024-01
15,2024-01-01 03:45:00,2024-01-01 04:00:00,249,4,03:45:00,2024-01-01,62.25,0.0,0.0,1,0,0.0,155.625,155.625,0.2142857142857142,2024-01
16,2024-01-01 04:00:00,2024-01-01 04:15:00,254,5,04:00:00,2024-01-01,63.5,-0.25,-0.00025,1,0,-0.015875,158.75,158.765875,0.1071428571428571,2024-01
17,2024-01-01 04:15:00,2024-01-01 04:30:00,254,5,04:15:00,2024-01-01,63.5,-0.25,-0.00025,1,0,-0.015875,158.75,158.765875,0.0,2024-01
18,2024-01-01 04:30:00,2024-01-01 04:45:00,245,5,04:30:00,2024-01-01,61.25,-0.25,-0.00025,1,0,-0.0153125,153.125,153.1403125,-0.1071428571428571,2024-01
19,2024-01-01 04:45:00,2024-01-01 05:00:00,255,5,04:45:00,2024-01-01,63.75,-0.25,-0.00025,1,0,-0.0159375,159.375,159.3909375,-0.1428571428571428,2024-01
20,2024-01-01 05:00:00,2024-01-01 05:15:00,269,6,05:00:00,2024-01-01,67.25,-0.25,-0.00025,1,0,-0.0168125,168.125,168.1418125,-0.1785714285714285,2024-01
21,2024-01-01 05:15:00,2024-01-01 05:30:00,270,6,05:15:00,2024-01-01,67.5,-0.25,-0.00025,1,0,-0.016875,168.75,168.766875,-0.2142857142857142,2024-01
22,2024-01-01 05:30:00,2024-01-01 05:45:00,273,6,05:30:00,2024-01-01,68.25,-0.25,-0.00025,1,0,-0.0170625,170.625,170.6420625,-0.25,2024-01
23,2024-01-01 05:45:00,2024-01-01 06:00:00,274,6,05:45:00,2024-01-01,68.5,-0.25,-0.00025,1,0,-0.017125,171.25,171.267125,-0.25,2024-01
24,2024-01-01 06:00:00,2024-01-01 06:15:00,285,7,06:00:00,2024-01-01,71.25,0.0,0.0,1,0,0.0,178.125,178.125,-0.2142857142857142,2024-01
25,2024-01-01 06:15:00,2024-01-01 06:30:00,287,7,06:15:00,2024-01-01,71.75,0.0,0.0,1,0,0.0,179.375,179.375,-0.1785714285714285,2024-01
26,2024-01-01 06:30:00,2024-01-01 06:45:00,299,7,06:30:00,2024-01-01,74.75,0.0,0.0,1,0,0.0,186.875,186.875,-0.1428571428571428,2024-01
27,2024-01-01 06:45:00,2024-01-01 07:00:00,305,7,06:45:00,2024-01-01,76.25,0.0,0.0,1,0,0.0,190.625,190.625,-0.1071428571428571,2024-01
28,2024-01-01 07:00:00,2024-01-01 07:15:00,322,8,07:00:00,2024-01-01,80.5,0.0,0.0,1,0,0.0,201.25,201.25,-0.0714285714285714,2024-01
29,2024-01-01 07:15:00,2024-01-01 07:30:00,314,8,07:15:00,2024-01-01,78.5,0.0,0.0,1,0,0.0,196.25,196.25,-0.0357142857142857,2024-01
