index,Interval_Start,Interval_End,Consumption_kW,Consumption_kWh,Hour,Time,Date,Adjusted_Consumption_kWh,Day,Price (Kč/MWh),Price_kWh,Cost (Kč),Month,DayOfWeek,Fixed_Cost (Kč),Cost_Difference (Kč),Savings,Elasticity,Season
0,2024-01-01 00:00:00,2024-01-01 00:15:00,242,242,1,00:00:00,2024-01-01,60.5,2024-01-01,2.47,0.0024700000000000004,0.59774,1,0,151.25,150.65226,-725.40226,-0.9142839644055537,Summer
1,2024-01-01 00:15:00,2024-01-01 00:30:00,254,254,1,00:15:00,2024-01-01,63.5,2024-01-01,2.47,0.0024700000000000004,0.62738,1,0,158.75,158.12262,-761.37262,-0.9223453022181197,Summer
2,2024-01-01 00:30:00,2024-01-01 00:45:00,252,252,1,00:30:00,2024-01-01,63.0,2024-01-01,2.47,0.0024700000000000004,0.6224400000000001,1,0,157.5,156.87756,-755.3775599999999,-0.921028548554718,Summer
3,2024-01-01 00:45:00,2024-01-01 01:00:00,251,251,1,00:45:00,2024-01-01,62.75,2024-01-01,2.47,0.0024700000000000004,0.6199700000000001,1,0,156.875,156.25503,-752.3800299999999,-0.9203662475986918,Summer
4,2024-01-01 01:00:00,2024-01-01 01:15:00,243,243,2,01:00:00,2024-01-01,60.75,2024-01-01,0.25,0.00025,0.06075,1,0,151.875,151.81425,-728.93925,-0.6622894341964628,Summer
5,2024-01-01 01:15:00,2024-01-01 01:30:00,242,242,2,01:15:00,2024-01-01,60.5,2024-01-01,0.25,0.00025,0.0605,1,0,151.25,151.1895,-725.9395000000001,-0.661792244360038,Summer
6,2024-01-01 01:30:00,2024-01-01 01:45:00,251,251,2,01:30:00,2024-01-01,62.75,2024-01-01,0.25,0.00025,0.06275,1,0,156.875,156.81225,-752.9372500000001,-0.6661948238669829,Summer
7,2024-01-01 01:45:00,2024-01-01 02:00:00,255,255,2,01:45:00,2024-01-01,63.75,2024-01-01,0.25,0.00025,0.06375,1,0,159.375,159.31125,-764.9362500000001,-0.668101082777009,Summer
8,2024-01-01 02:00:00,2024-01-01 02:15:00,243,243,3,02:00:00,2024-01-01,60.75,2024-01-01,0.5,0.0005,0.1215,1,0,151.875,151.7535,-728.8784999999999,-0.7226854274974447,Summer
9,2024-01-01 02:15:00,2024-01-01 02:30:00,244,244,3,02:15:00,2024-01-01,61.0,2024-01-01,0.5,0.0005,0.122,1,0,152.5,152.378,-731.8779999999999,-0.7232257293858735,Summer
10,2024-01-01 02:30:00,2024-01-01 02:45:00,247,247,3,02:30:00,2024-01-01,61.75,2024-01-01,0.5,0.0005,0.1235,1,0,154.375,154.2515,-740.8765,-0.7248334478640174,Summer
11,2024-01-01 02:45:00,2024-01-01 03:00:00,253,253,3,02:45:00,2024-01-01,63.25,2024-01-01,0.5,0.0005,0.1265,1,0,158.125,157.9985,-758.8734999999999,-0.7279911192362387,Summer
12,2024-01-01 03:00:00,2024-01-01 03:15:00,254,254,4,03:00:00,2024-01-01,63.5,2024-01-01,0.0,0.0,0.0,1,0,158.75,158.75,-762.0,-0.0,Summer
13,2024-01-01 03:15:00,2024-01-01 03:30:00,247,247,4,03:15:00,2024-01-01,61.75,2024-01-01,0.0,0.0,0.0,1,0,154.375,154.375,-741.0,-0.0,Summer
14,2024-01-01 03:30:00,2024-01-01 03:45:00,245,245,4,03:30:00,2024-01-01,61.25,2024-01-01,0.0,0.0,0.0,1,0,153.125,153.125,-735.0,-0.0,Summer
15,2024-01-01 03:45:00,2024-01-01 04:00:00,249,249,4,03:45:00,2024-01-01,62.25,2024-01-01,0.0,0.0,0.0,1,0,155.625,155.625,-747.0,-0.0,Summer
16,2024-01-01 04:00:00,2024-01-01 04:15:00,254,254,5,04:00:00,2024-01-01,63.5,2024-01-01,-0.25,-0.00025,-0.0635,1,0,158.75,158.8135,-762.0635,,Summer
17,2024-01-01 04:15:00,2024-01-01 04:30:00,254,254,5,04:15:00,2024-01-01,63.5,2024-01-01,-0.25,-0.00025,-0.0635,1,0,158.75,158.8135,-762.0635,,Summer
18,2024-01-01 04:30:00,2024-01-01 04:45:00,245,245,5,04:30:00,2024-01-01,61.25,2024-01-01,-0.25,-0.00025,-0.06125,1,0,153.125,153.18625,-735.06125,,Summer
19,2024-01-01 04:45:00,2024-01-01 05:00:00,255,255,5,04:45:00,2024-01-01,63.75,2024-01-01,-0.25,-0.00025,-0.06375,1,0,159.375,159.43875,-765.0637499999999,,Summer
20,2024-01-01 05:00:00,2024-01-01 05:15:00,269,269,6,05:00:00,2024-01-01,67.25,2024-01-01,-0.25,-0.00025,-0.06725,1,0,168.125,168.19225,-807.06725,,Summer
21,2024-01-01 05:15:00,2024-01-01 05:30:00,270,270,6,05:15:00,2024-01-01,67.5,2024-01-01,-0.25,-0.00025,-0.0675,1,0,168.75,168.8175,-810.0675,,Summer
22,2024-01-01 05:30:00,2024-01-01 05:45:00,273,273,6,05:30:00,2024-01-01,68.25,2024-01-01,-0.25,-0.00025,-0.06825,1,0,170.625,170.69325,-819.0682499999999,,Summer
23,2024-01-01 05:45:00,2024-01-01 06:00:00,274,274,6,05:45:00,2024-01-01,68.5,2024-01-01,-0.25,-0.00025,-0.0685,1,0,171.25,171.3185,-822.0685,,Summer
24,2024-01-01 06:00:00,2024-01-01 06:15:00,285,285,7,06:00:00,2024-01-01,71.25,2024-01-01,0.0,0.0,0.0,1,0,178.125,178.125,-855.0,-0.0,Summer
25,2024-01-01 06:15:00,2024-01-01 06:30:00,287,287,7,06:15:00,2024-01-01,71.75,2024-01-01,0.0,0.0,0.0,1,0,179.375,179.375,-861.0,-0.0,Summer
26,2024-01-01 06:30:00,2024-01-01 06:45:00,299,299,7,06:30:00,2024-01-01,74.75,2024-01-01,0.0,0.0,0.0,1,0,186.875,186.875,-897.0,-0.0,Summer
27,2024-01-01 06:45:00,2024-01-01 07:00:00,305,305,7,06:45:00,2024-01-01,76.25,2024-01-01,0.0,0.0,0.0,1,0,190.625,190.625,-915.0,-0.0,Summer
28,2024-01-01 07:00:00,2024-01-01 07:15:00,322,322,8,07:00:00,2024-01-01,80.5,2024-01-01,0.0,0.0,0.0,1,0,201.25,201.25,-966.0,-0.0,Summer
29,2024-01-01 07:15:00,2024-01-01 07:30:00,314,314,8,07:15:00,2024-01-01,78.5,2024-01-01,0.0,0.0,0.0,1,0,196.25,196.25,-942.0,-0.0,Summer
30,2024-01-01 07:30:00,2024-01-01 07:45:00,310,310,8,07:30:00,2024-01-01,77.5,2024-01-01,0.0,0.0,0.0,1,0,193.75,193.75,-930.0,-0.0,Summer
31,2024-01-01 07:45:00,2024-01-01 08:00:00,315,315,8,07:45:00,2024-01-01,78.75,2024-01-01,0.0,0.0,0.0,1,0,196.875,196.875,-945.0,-0.0,Summer
32,2024-01-01 08:00:00,2024-01-01 08:15:00,311,311,9,08:00:00,2024-01-01,77.75,2024-01-01,0.0,0.0,0.0,1,0,194.375,194.375,-933.0,-0.0,Summer
33,2024-01-01 08:15:00,2024-01-01 08:30:00,306,306,9,08:15:00,2024-01-01,76.5,2024-01-01,0.0,0.0,0.0,1,0,191.25,191.25,-918.0,-0.0,Summer
34,2024-01-01 08:30:00,2024-01-01 08:45:00,302,302,9,08:30:00,2024-01-01,75.5,2024-01-01,0.0,0.0,0.0,1,0,188.75,188.75,-906.0,-0.0,Summer
35,2024-01-01 08:45:00,2024-01-01 09:00:00,308,308,9,08:45:00,2024-01-01,77.0,2024-01-01,0.0,0.0,0.0,1,0,192.5,192.5,-924.0,-0.0,Summer
36,2024-01-01 09:00:00,2024-01-01 09:15:00,277,277,10,09:00:00,2024-01-01,69.25,2024-01-01,0.99,0.00099,0.27423,1,0,173.125,172.85077,-830.72577,-0.8129770940840407,Summer
37,2024-01-01 09:15:00,2024-01-01 09:30:00,278,278,10,09:15:00,2024-01-01,69.5,2024-01-01,0.99,0.00099,0.27522,1,0,173.75,173.47478,-833.72478,-0.813498011800429,Summer
38,2024-01-01 09:30:00,2024-01-01 09:45:00,285,285,10,09:30:00,2024-01-01,71.25,2024-01-01,0.99,0.00099,0.28215,1,0,178.125,177.84285,-854.71785,-0.8170928029759259,Summer
39,2024-01-01 09:45:00,2024-01-01 10:00:00,279,279,10,09:45:00,2024-01-01,69.75,2024-01-01,0.99,0.00099,0.27621,1,0,174.375,174.09879,-836.72379,-0.8140170590721576,Summer
40,2024-01-01 10:00:00,2024-01-01 10:15:00,273,273,11,10:00:00,2024-01-01,68.25,2024-01-01,1.48,0.00148,0.40404,1,0,170.625,170.22096,-818.59596,-0.8609144740679723,Summer
41,2024-01-01 10:15:00,2024-01-01 10:30:00,275,275,11,10:15:00,2024-01-01,68.75,2024-01-01,1.48,0.00148,0.407,1,0,171.875,171.468,-824.5930000000001,-0.8620347355447149,Summer
42,2024-01-01 10:30:00,2024-01-01 10:45:00,273,273,11,10:30:00,2024-01-01,68.25,2024-01-01,1.48,0.00148,0.40404,1,0,170.625,170.22096,-818.59596,-0.8609144740679723,Summer
43,2024-01-01 10:45:00,2024-01-01 11:00:00,287,287,11,10:45:00,2024-01-01,71.75,2024-01-01,1.48,0.00148,0.42475999999999997,1,0,179.375,178.95024,-860.57524,-0.8685898304114893,Summer
44,2024-01-01 11:00:00,2024-01-01 11:15:00,275,275,12,11:00:00,2024-01-01,68.75,2024-01-01,13.35,0.013349999999999999,3.6712499999999997,1,0,171.875,168.20375,-821.32875,-1.3013114508785926,Summer
45,2024-01-01 11:15:00,2024-01-01 11:30:00,270,270,12,11:15:00,2024-01-01,67.5,2024-01-01,13.35,0.013349999999999999,3.6045,1,0,168.75,165.1455,-806.3955,-1.2970602638803181,Summer
46,2024-01-01 11:30:00,2024-01-01 11:45:00,271,271,12,11:30:00,2024-01-01,67.75,2024-01-01,13.35,0.013349999999999999,3.61785,1,0,169.375,165.75715,-809.38215,-1.2979167646375742,Summer
47,2024-01-01 11:45:00,2024-01-01 12:00:00,278,278,12,11:45:00,2024-01-01,69.5,2024-01-01,13.35,0.013349999999999999,3.7112999999999996,1,0,173.75,170.0387,-830.2887000000001,-1.3038252172131684,Summer
48,2024-01-01 12:00:00,2024-01-01 12:15:00,277,277,13,12:00:00,2024-01-01,69.25,2024-01-01,55.38,0.055380000000000006,15.34026,1,0,173.125,157.78474,-815.65974,-1.9436481960500598,Summer
