Date,Cost_Difference (Kč)
2024-01-01,5152.08018
2024-01-02,-52954.9133
2024-01-03,-41196.7787
2024-01-04,-85102.04199
2024-01-05,-97380.45803000001
2024-01-06,-42953.59137
2024-01-07,-39421.39634
2024-01-08,-130115.43045
2024-01-09,-144960.48449
2024-01-10,-147799.69215
2024-01-11,-137326.55048
2024-01-12,-128319.34177
2024-01-13,-39395.07991
2024-01-14,-33289.20498
2024-01-15,-102513.38553
2024-01-16,-136755.81
2024-01-17,-123957.49042
2024-01-18,-111283.68654
2024-01-19,-87149.12882000001
2024-01-20,-32159.90922
2024-01-21,-29520.16896
2024-01-22,-101931.53423
2024-01-23,-81114.0121
2024-01-24,-79779.4653
2024-01-25,-83939.17205000001
2024-01-26,-73256.61752
2024-01-27,-28710.80009
2024-01-28,-25203.396810000002
2024-01-29,-92277.5371
2024-01-30,-82708.52689
2024-01-31,-89106.93269
2024-02-01,-89486.92347
2024-02-02,-88446.52813
2024-02-03,-31013.372160000003
2024-02-04,-21889.47698
2024-02-05,-68141.69921
2024-02-06,-63065.17955
2024-02-07,-77503.39434
2024-02-08,-93685.37426
2024-02-09,-65101.13431
2024-02-10,-30868.001080000002
2024-02-11,-24032.13248
2024-02-12,-73215.73121
2024-02-13,-70131.32598
2024-02-14,-64496.39993
2024-02-15,-66862.67741
2024-02-16,-48419.45317
2024-02-17,-29027.38589
2024-02-18,-19157.50254
2024-02-19,-65398.385160000005
2024-02-20,-59013.77483
2024-02-21,-55203.87792
2024-02-22,-53084.394009999996
2024-02-23,-59173.435919999996
2024-02-24,-21454.07977
2024-02-25,-23218.91872
2024-02-26,-60756.2807
2024-02-27,-69263.19638
2024-02-28,-70056.75702
2024-02-29,-58219.7647
2024-03-01,-59612.06827
2024-03-02,-27760.13762
2024-03-03,-23662.44534
2024-03-04,-69882.22868
2024-03-05,-72251.15785999999
2024-03-06,-82940.82269
2024-03-07,-79570.12903
2024-03-08,-71230.94239
2024-03-09,-15467.444400000002
2024-03-10,-7445.55069
2024-03-11,-72944.78111
2024-03-12,-90979.49408
2024-03-13,-74373.69997
2024-03-14,-61266.767980000004
2024-03-15,-42041.11181
2024-03-16,-20643.06782
2024-03-17,-23187.28815
2024-03-18,-90824.16460999999
2024-03-19,-86185.82674
2024-03-20,-86779.13559
2024-03-21,-77010.92518
2024-03-22,-55168.51703
2024-03-23,-11137.65142
2024-03-24,-2942.95742
2024-03-25,-90504.93518
2024-03-26,-54590.04947
2024-03-27,-69597.30256
2024-03-28,-32813.99338
2024-03-29,-8343.00074
2024-03-30,-18427.51444
2024-03-31,-10217.34516
2024-04-01,-4943.64681
2024-04-02,-4355.518620000001
2024-04-03,-90331.69103
2024-04-04,-58696.21537
2024-04-05,-27628.741739999998
2024-04-06,-8600.70196
2024-04-07,2792.5317600000003
2024-04-08,-71909.81649
2024-04-09,-49095.37728
2024-04-10,-63006.25626
2024-04-11,-27976.597980000002
2024-04-12,-33204.70192
2024-04-13,5095.99047
2024-04-14,5960.34646
2024-04-15,-79225.85274
2024-04-16,-65638.94078
2024-04-17,-100464.25345
2024-04-18,-99605.973
2024-04-19,-55516.35012
2024-04-20,-19747.98871
2024-04-21,-15788.915219999999
2024-04-22,-105225.34761
2024-04-23,-114910.2256
2024-04-24,-107018.79805
2024-04-25,-88576.84229
2024-04-26,-79968.16591
2024-04-27,-19426.51956
2024-04-28,6498.76179
2024-04-29,-58842.13443
2024-04-30,-42565.909159999996
2024-05-01,14419.355010000001
2024-05-02,-9848.771789999999
2024-05-03,-65070.39802
2024-05-04,-27078.994740000002
2024-05-05,-15290.96218
2024-05-06,-75249.3459
2024-05-07,-80316.93745
2024-05-08,-37481.84327
2024-05-09,-20895.06684
2024-05-10,-43096.767629999995
2024-05-11,-14803.88222
2024-05-12,11683.490189999999
2024-05-13,-19500.24196
2024-05-14,2651.0502900000015
2024-05-15,-23057.70277
2024-05-16,-35896.18785
2024-05-17,-72162.42691
2024-05-18,-16703.440880000002
2024-05-19,-13201.221940000001
2024-05-20,-36329.99309
2024-05-21,-72202.17063
2024-05-22,-74314.0303
2024-05-23,-77258.28451
2024-05-24,-86551.13435000001
2024-05-25,-25893.265180000002
2024-05-26,-18237.50403
2024-05-27,-93915.79634
2024-05-28,-76326.96777
2024-05-29,-64585.77709
2024-05-30,-77844.29703
2024-05-31,-76507.60117
2024-06-01,-20085.99855
2024-06-02,29.187800000000436
2024-06-03,-110972.28253
2024-06-04,-93773.05971
2024-06-05,-75702.8395
2024-06-06,-65250.05393
2024-06-07,-56806.90251
2024-06-08,-13811.14398
2024-06-09,-1191.7192300000008
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-15,0.0
2024-06-16,0.0
2024-06-17,0.0
2024-06-18,0.0
